ax;ay;az;gx;gy;gz
257;257;257;257;257;257
293;737;3526;-17;-43;19
295;729;3474;-4;2;2
287;745;3510;-2;-3;3
290;744;3517;-2;-1;1
293;721;3511;0;3;0
289;716;3478;0;0;-2
287;716;3495;-1;4;0
4112;4112;4112;4112;4112;4112
4159;146;-634;-12;-37;19
4159;169;-581;8;-1;-6
4168;166;-609;4;-5;-7
4162;165;-585;2;-6;-7
4170;169;-596;2;-4;-6
4157;173;-632;-3;-6;-7
4186;167;-616;-1;-5;-7
4172;145;-606;-2;-6;-4
4165;146;-608;1;-3;-7
4147;145;-615;1;-4;-7
4179;163;-594;0;-3;-8
4159;145;-598;-1;-4;-6
4157;138;-608;1;-2;-10
4148;155;-596;2;-2;-6
4150;164;-627;3;-4;-9
4186;164;-620;4;-7;-12
4163;161;-632;1;-6;-11
4170;132;-622;3;-7;-12
4170;156;-622;2;1;-9
4180;168;-641;-2;-2;-10
4176;147;-662;3;2;-11
4190;178;-672;0;4;-11
4187;152;-651;-1;5;-10
4190;180;-583;-1;6;-8
4170;198;-658;-4;8;-8
4158;167;-641;-2;8;-4
4146;186;-607;1;7;1
4148;196;-616;-3;4;4
4169;180;-581;-5;8;1
4141;166;-607;-4;11;6
4144;155;-615;-4;5;7
4144;148;-594;-2;7;5
4150;156;-559;1;1;7
4132;128;-579;-1;1;4
4156;138;-564;4;-4;2
4166;142;-591;5;-5;1
4169;121;-581;6;-6;-1
4176;148;-593;4;-9;-1
4177;142;-578;4;-9;-4
4192;142;-597;5;-15;-5
4188;158;-595;3;-16;-4
4190;142;-592;3;-17;-7
4169;135;-613;4;-17;-9
4180;156;-594;1;-17;-12
4158;164;-616;2;-18;-12
4173;155;-618;2;-16;-9
4167;164;-599;-1;-21;-9
4180;155;-611;2;-20;-12
4171;170;-620;-2;-21;-14
4175;147;-610;0;-24;-13
4158;174;-574;0;-22;-15
4181;140;-569;2;-22;-10
4167;158;-634;6;-25;-11
4152;170;-572;4;-26;-12
4160;137;-624;6;-21;-11
4163;142;-640;5;-23;-13
4127;184;-616;2;-18;-13
4167;163;-598;5;-20;-10
4159;167;-640;6;-14;-10
4163;170;-642;4;-10;-8
4166;162;-660;-2;-9;-8
4170;170;-644;1;-10;-8
4179;166;-638;5;-8;-6
4181;150;-654;2;-3;-7
4197;146;-636;0;-1;-5
